No,ページ,アンカー,指示種別,修正前,修正後,自動置換可,反映済,検証結果,備考
37,7,⑧第一Ⅰの索引語列,挿入,,"洪秀全、太平天国、",N,,,下部の書き込み。「義和団」付近に挿入と推定。「国家神道」に丸囲みあり(要確認)
38,7,⑨第一Ⅱの索引語列,挿入,,"宗教改革、",N,,,下部の書き込み。「教皇」付近に挿入と推定
39,8,⑨第一Ⅱの索引語列(ページ冒頭),挿入,,"メッカ、洪秀全、大乗仏教、上座仏教関連の語",N,,,"左余白に「洪秀全、大乗仏教、」ほか1語(判読困難)。上部に「メッカ、」。挿入位置は赤線参照"
40,8,⑨第一Ⅱの索引語列,挿入,,"シヴァ、ヴァルナ制、東大寺、御蔭参り、法隆寺、",N,,,"上部余白の書き込み。それぞれの挿入位置は赤カレット参照"
41,8,⑩清水の索引語列,挿入,,"義和団事件、嘆きの壁事件、",N,,,右余白。挿入位置は赤線参照
42,8,⑪東書Ⅱの索引語列,挿入,,"カリフ、セルジューク朝、マムルーク朝、",N,,,右余白。「ウマイヤ朝、アッバース朝」付近に挿入と推定
43,8,⑪東書Ⅱの索引語列,挿入,,"シク戦争、嘆きの壁、大嘗祭、即位の礼、",N,,,左右余白の書き込み。挿入位置は赤線参照
44,8,⑪東書Ⅱの索引語列「義和団」,置換,,義和団(戦争),N,,,「(戦争)」の補い。対象箇所は赤線参照
45,8,⑫明成の索引語列,挿入,,"血盟団事件、",N,,,右余白。挿入位置は赤線参照
46,8,⑫明成の索引語列「鎮守の◯」,照会,,,N,,,「鎮守の」に続く字に丸囲みあり(「杜」か「森」か表記の照会と思われる。要原稿確認)
47,8,「虫食い」の段落,置換,ある部分をめぐる網羅性,あるトピックをめぐる網羅性,Y,,,左余白「トピック」
48,8,「虫食い」の段落末尾,照会,,,N,,,"「記載があるケースもあるだろう」付近に「のケースが目立つ」「トル」×2の赤字。文の組み替えのため係り受けを要原稿確認"
49,9,冒頭第1文,置換,,基本的にきわめて簡略化せざるをえない,N,,,元の語(「省略」か)に取り消し線、上部余白「きわめて簡略化」
50,9,第2段落末尾,置換,⑩⑫は見当たらない,⑩⑫には見当たらない,Y,,,脱字「に」の補い
51,9,「まとまっ扱われることは」の一文,置換,がまとまっ扱われることは,がまとまって扱われることは,Y,,,脱字「て」の補い
52,9,観点2第2段落「①②③⑤⑧⑪などである」,削除,①②③⑤⑧⑪などである,①②③⑤⑪などである,N,,,丸数字1つに丸囲み+「トル」。対象は⑧と読めるが要原稿確認
53,9,左余白「・8-9」,照会,,,N,,,頁数表記[8-9]に関わる指示と思われるが対象箇所が特定できず。要原稿確認
54,9,「[34、22]」付近,照会,,,N,,,区切り記号への赤点あり(「;」への修正か)。要原稿確認
55,9,ページ下部余白の長文書き足し,挿入,①帝国では、日本史と東アジアの状況に触れられた後,"①帝国では、「2部 近代化と私たち」―「1章 江戸時代の日本と結び付く世界」において、まず日本史と東アジアの状況に触れられた後",N,,,挿入位置は引き出し線参照。鉤括弧・ダーシの体裁は本文ルールに合わせる
56,10,「オスマン帝国(トルコ)の記述がある」の一文,置換,①②③④⑤⑥⑧⑨⑩⑪の10冊に,①②③④⑤⑥⑧⑨⑩⑪⑫の11冊に,Y,,,⑫を追加し10→11に
57,10,「その後は、〜でも確認した」,置換,,3-2でも確認した,N,,,元の表記(「2-3」か「②③」か)に取り消し線。「3-2」に修正
58,10,「どうしても引きずられざるをえない」付近,照会,,,N,,,"「は」の挿入等の赤字あり。係り先判読困難のため要原稿確認"
59,10,観点2最終文,置換,扱っていないか、点検や工夫が求められるだろう,扱っていないか(それがやむをえないのかどうか)、点検や工夫が求められるだろう,Y,,,
60,10,観点3第1段落,照会,,,N,,,「物語ってもいえるのではないか」付近に「という」の赤字あり。文意要確認
61,10,「キリスト教伝来と拡大、江戸期禁教など」の一文,置換,,①②④⑤⑦⑧⑨⑩⑪に③を加えて10冊ほど,N,,,"③の挿入と冊数9→10の修正(元の冊数の判読要確認)"
62,10,寺請制度の段落,置換,ほとんど記述がない,あまり記述がない,Y,,,「わずかに」付近にも赤マークあり(要確認)
63,10,①帝国のコラム名,置換,未来へ生かす歴史,未来へ活かす歴史,N,,,教科書コラム名の固有表記のため原本(教科書)との照合推奨
64,10,アイヌの信仰の一文,照会,,,N,,,丸数字の修正(⑥に修正線・⑧の追記と読める)。対象要原稿確認
65,10,ページ下部余白の長文書き足し,挿入,,"、③東書Ⅰに「キリスト教禁止政策(中間部判読要確認)として、人々はいずれかの寺の檀家となり、宗門改帳に登録された」[30](④東書Ⅱにも同様の記述あり[20])",N,,,挿入位置は「(寺請制度)」[37]の記述の直後と推定。引用の中間部が判読困難のため要原稿確認
66,10,右余白「トル」×2,照会,,,N,,,「的確だろう」付近ほか2箇所に「トル」。対象文字を要原稿確認
67,11,冒頭「などとある[21]」,置換,などとある[21],などとある[22],Y,,,頁数修正
68,11,「近世日本の「宗教」に関わるものは」,置換,「宗教」に関わるものは、この程度である,「宗教」に関わるまとまったものは、この程度である,Y,,,
69,11,⑥山川Ⅱ引用「天皇の神格化を強めた」,体裁,,,N,,,丸囲み範囲「天皇の神格化」をゴシック体に(※ゴチに)
70,11,⑦山川Ⅲ巻末用語解説「神道」,体裁,,,N,,,「神道」をゴシック体に(※ゴチに)
71,11,「明治政府の政策で、その後も〜」の一文,置換,,戦後~現代も意識上大きな影響を有するような局面,N,,,"「その後」→「戦後~現代」、「局面」の前に「ような」挿入。元の文言との対応は赤線参照"
72,11,同じ一文の文末,置換,課題を残す。,課題を残すだろう。,Y,,,
73,11,皇民化政策の段落,照会,,,N,,,"丸数字と冊数への赤字(「9」「②」等)が複数あり判読困難。列挙の丸数字と冊数の整合を要原稿確認"
74,11,ページ左下,照会,,,N,,,「トル」指示あり。対象文字を要原稿確認
75,12,「「内地」ではみなが進んで〜」,置換,みなが進んでっていた,みなが進んで行っていた,N,,,脱字「行」の補い(元の文字列は要原稿確認)
76,12,「論じるべき記述自体が基本的にない」,置換,論じるべき記述自体が基本的にない,論じるべきまとまった記述自体が基本的に見当たらない,Y,,,"「まとまった」挿入+「ない」→「見当たらない」"
77,12,観点4の見出し,置換,観点4:民族・地域紛争と変化の一背景として,観点4:民族・地域紛争と変化の一背景として(特にイスラーム),Y,,,p.14の総括部の同見出し引用にも同一修正(No.98)
78,12,「1~2頁の特設項目で記載している点も目立つ。」の後,挿入,,(⑧⑨には「パレスチナ問題」の語自体はない),N,,,右余白。挿入位置は赤カレット参照
79,12,③東書Ⅰの引用タイトル,照会,,,N,,,「ユダヤ人とアラブ人の、歴史と対立」付近に「トル」(読点トルか)。要原稿確認
80,12,①東京Ⅱ引用「20世紀に表面化した」,置換,20世紀に表面化した,20世紀に表面化する,Y,,,同じ文に「が」の挿入指示あり(「対立が」、位置は赤カレット参照)
81,12,⑩清水の引用の段落,照会,,,N,,,"「があらわれたの」「入ってからである」等の書き込みあり。挿入位置・文意が判読困難のため要原稿確認"
82,12,「イラン=イスラーム革命とホメイニ」,置換,イラン=イスラーム革命とホメイニ,イラン=イスラーム革命(イラン革命)とホメイニ,Y,,,
83,12,①帝国「イスラーム復興と冷戦への影響」付近,照会,,,N,,,「トル」指示あり。対象文字を要原稿確認
84,12,⑨第一Ⅱ「[19◯]」,照会,,,N,,,頁数への赤字(「5」の追記、[195]か)。要原稿確認
85,12,「前掲のパフラヴィー朝〜理解が必要だろう」,置換,,前提となるパフラヴィー朝のみならずペルシアの歴史、シーア派についての理解も必要だろう,N,,,"「前掲」→「前提となる」、「理解が」→「理解も」と読めるが要原稿確認"
86,12,9.11の段落,挿入,,"「表記はさまざまだが」「いくつかの教科書では、」「ことさらに」",N,,,3つの挿入語句。それぞれの挿入位置は赤カレット・引き出し線参照
87,12,「その他、インド・パキスタンの独立と紛争、ユーゴ紛争なども」,挿入,インド・パキスタンの独立と紛争、ユーゴ紛争なども扱われる,インド・パキスタンの独立と紛争、ユーゴ紛争、中東紛争、「イスラム国(IS)」なども扱われる,N,,,挿入位置(ユーゴ紛争の後と推定)は赤線参照
88,12,節末尾の文,照会,,,N,,,文末「厳しく問われて〜」に修正線+「るだろう」。元の文字が判読困難のため要原稿確認
89,13,観点5第1段落「12冊◯、③④⑧⑨⑩⑪が」,置換,,12冊中6冊(「中」の挿入),N,,,「中」の挿入指示。前後の数字表記は要原稿確認
90,13,「〜が何らかの特設項目などで扱っている。」の後,挿入,,(⑫には戦没者の手記がある),N,,,右上余白。挿入位置は赤カレット参照
91,13,③東書Ⅰの引用の段落,置換,,いまそれらの記憶がどう受けつがれていくのか,N,,,左余白「らの記憶が」の挿入。元の文言との対応は赤線参照
92,13,「日本における戦没者慰霊・顕彰という文脈で」,挿入,。日本における戦没者慰霊・顕彰という文脈で,。ただし、日本における戦没者慰霊・顕彰という文脈で,Y,,,文頭に「ただし、」
93,13,⑤実教Ⅱ「Link 歴史と現在 靖国神社」,体裁,,,N,,,「靖国神社」をゴシック体に(※ゴチに)
94,13,「靖国神社については、主に政教分離訴訟との関連で」,置換,靖国神社については、主に政教分離訴訟との関連で取り上げられる,なお、靖国神社については、「政治・経済」や「公共」において主に政教分離訴訟との関連で取り上げられる,Y,,,"文頭「なお、」+「「政治・経済」や「公共」において」の挿入"
95,13,総括「観点2」の段落(ページ下部長文),挿入,については、イスラーム史をヨーロッパ中心,については、「歴史総合」が近現代史中心であるために、イスラーム史が諸帝国の最盛期から唐突に描かれる傾向が強いことをまず指摘した。その上で、イスラーム史をヨーロッパ中心,N,,,下部余白の長文書き足し。接続は赤の引き出し線参照
96,14,総括「観点3」の段落,挿入,,また、,N,,,「植民地における〜」の文頭に挿入と推定(赤カレット参照)
97,14,総括「観点3」の段落,挿入,それにより十分的確に扱われていない点が,それにより「内地」の状況などについて十分的確に扱われていない点が,Y,,,左余白の書き込み
98,14,総括「観点4」の段落(見出し引用),置換,「観点4:民族・地域紛争と変化の一背景として」については,「観点4:民族・地域紛争と変化の一背景として(特にイスラーム)」については,Y,,,No.77の見出し修正と連動
99,14,「(実際にはなくならず、〜)」の括弧内,置換,,実際には必ずしもなくならず、接続せず、脈々と続いているものであっても,N,,,"「必ずしも」等の挿入。元の文言との対応は赤線参照"
100,14,「詳しくばよいという声」,置換,詳しくばよいという声,詳しく扱えばよいという声,Y,,,脱字「扱え」の補い
101,14,「自国・自文化における近現代史」,置換,自国・自文化における近現代史,自国・自文化についての近現代史,Y,,,
102,14,謝辞(科研費)の年度,置換,,2024-26年度,N,,,元の下1桁に取り消し線、「26」に修正。修正前表記は要原稿確認
103,14,謝辞(科研費)の名称,置換,,科学研究費補助金・基盤研究(C),N,,,2つ目の科研費表記に「補助金」を補う指示(取り消し線の範囲は要原稿確認)
104,15,注3「世界の古代文明や宗教のおこり」,照会,,,N,,,「や」に丸囲み+点あり(読点化か削除か判読困難)。要原稿確認
105,15,注4第1文,置換,,ウェブと文献で検索・調査した。そのうち,N,,,"「調査し、」→「調査した。そのうち」と読めるが要原稿確認"
106,15,注4「「宗教研究者」として分類」,挿入,,"分類、把握した",N,,,文末に「、把握した」を挿入と推定。要原稿確認
107,15,注4の専門分野の列挙,挿入,,「宗教史」,N,,,列挙(「宗教哲学」付近)への追加と推定。挿入位置は赤線参照
108,15,参考文献・畔上直樹2022,照会,,,N,,,項目内に赤マークあり(読点挿入か)。要原稿確認
109,16,参考文献・渡辺敦司2021,削除,渡辺敦司 2021「21年度高校教科書採択状況――文科省まとめ(上)――」『内外教育』6892(2021年2月12日):6-12。,,N,,,項目全体に取り消し線+「トルツメ」。1項目分を詰める(後続の行送り確認)
110,16,参考文献・塚田穂高2020ほか,照会,,,N,,,"塚田2020「連携接合を目指して」付近、塚田2021b『宗教法』付近に赤マークあり。修正内容判読困難のため要原稿確認"
111,16,ページ右下,照会,,,N,,,「ほか」の書き込みあり。挿入位置(全国歴史教育研究協議会編2023bの後か)要確認
112,目次,英文目次・塚田論文,置換,How Do High School,How Does High School,Y,,,No.1と同一修正。英文目次側
113,目次,目次の掲載順,照会,,,N,,,"塚田論文と利根川論文の間に⇔矢印+「ABC順、50音順、ママ?」。英文目次(ABC順)・和文目次(50音順)の掲載順を入れ替えるかの照会。編集委員会へ確認"
114,奥付,紀要委員会委員の一覧,削除,塚田 穂高(国際学部 国際理解学科),,N,,,一覧から削除(「※委員ではありません」の注記あり)
